c,m,mean_xie_beni,mean_partition_coefficient,mean_modified_partition_coefficient,mean_partition_entropy,mean_pairwise_ari,mean_membership_change,centroid_variation,convergence_rate,mean_minimum_centroid_distance,minimum_centroid_distance,minimum_crisp_cluster_size,empty_crisp_clusters,score_xie_beni,score_centroid_distance,score_mpc,score_partition_entropy,score_pairwise_ari,score_membership_change,score_centroid_variation,score_convergence,score_empty_clusters,score_centroid_collision,hard_diagnostic_penalty,structure_score,fuzzy_quality_score,stability_score,diagnostic_score,rank_balanced,score_balanced,rank_validity_focused,score_validity_focused,rank_stability_focused,score_stability_focused,rank_fuzzy_quality_focused,score_fuzzy_quality_focused,selection_consistency_count,selection_consistency
3,2.25,0.778663146960998,0.42939789573026604,0.14409684359539893,0.9574742942332517,1.0,4.449164645544034e-06,7.082337082255282e-05,1.0,1.859895040724913,1.859895040724913,9,0,0.42105263157894735,0.5789473684210527,0.7368421052631579,0.5789473684210527,0.0,0.631578947368421,0.6842105263157895,0.0,0.0,0.0,0.0,0.5,0.6578947368421053,0.4385964912280702,0.0,11,0.46315789473684216,11,0.4614035087719298,12,0.4429824561403509,12,0.5008771929824563,0,Top-3 in 0 of 4 weighting schemes
5,1.75,1.7178940235839697,0.4716338372114565,0.33954229651432055,1.0372219104263014,1.0,2.356579831711082e-07,3.2278776949442747e-06,1.0,0.8954540110878909,0.8954540110878909,4,0,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0,0.0,0.0,0.6842105263157895,0.5,0.3333333333333333,0.0,12,0.4736842105263158,12,0.5179824561403509,11,0.41271929824561404,11,0.47192982456140353,0,Top-3 in 0 of 4 weighting schemes
5,2.0,2.0798896586654294,0.3661302988617975,0.20766287357724691,1.247046033491591,1.0,1.2039134526929561e-07,2.4407474074220383e-06,1.0,0.5257726974742261,0.5257726974742261,4,0,0.7368421052631579,0.7368421052631579,0.5789473684210527,0.8421052631578947,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.7368421052631579,0.7105263157894737,0.14035087719298245,0.0,13,0.4789473684210526,13,0.5399122807017543,8,0.36096491228070177,13,0.5333333333333333,0,Top-3 in 0 of 4 weighting schemes
3,2.5,0.9453674374859103,0.3943123480592852,0.09146852208892785,1.0092240649537099,1.0,7.065699692300311e-06,0.00012468245430867917,1.0,1.18082946502768,1.18082946502768,9,0,0.5789473684210527,0.631578947368421,0.8421052631578947,0.631578947368421,0.0,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,0.0,0.6052631578947368,0.7368421052631579,0.5614035087719298,0.0,14,0.5578947368421052,14,0.5557017543859649,15,0.5425438596491228,15,0.5885964912280701,0,Top-3 in 0 of 4 weighting schemes
4,2.25,169453.625719009,0.32429543424907603,0.09906057899876804,1.2345940194688114,1.0,1.318543948643476e-07,1.65497944185586e-06,1.0,5.93773887026404e-06,5.93773887026404e-06,7,0,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.0,0.05263157894736842,0.3684210526315789,0.0,0.0,0.0,0.0,0.8947368421052632,0.7894736842105263,0.14035087719298245,0.0,15,0.5578947368421053,16,0.6385964912280703,10,0.41228070175438597,16,0.612280701754386,0,Top-3 in 0 of 4 weighting schemes
4,2.0,3.8921732821389172,0.3740876045162157,0.16545013935495417,1.1424142724526916,1.0,5.778744104306013e-06,0.00012172805600003246,1.0,0.35682028833949275,0.35682028833949275,6,0,0.7894736842105263,0.7894736842105263,0.631578947368421,0.7368421052631579,0.0,0.7894736842105263,0.7894736842105263,0.0,0.0,0.0,0.0,0.7894736842105263,0.6842105263157894,0.5263157894736842,0.0,16,0.6105263157894737,17,0.6421052631578947,16,0.5631578947368421,17,0.6157894736842104,0,Top-3 in 0 of 4 weighting schemes
4,1.75,1.389521057520662,0.5014518136928687,0.335269084923825,0.9272336330804365,0.7225427991854043,0.05826528550728483,0.6969432926227099,1.0,1.8601396817155684,1.8601396817155684,4,0,0.631578947368421,0.5263157894736842,0.3684210526315789,0.5263157894736842,1.0,1.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.5789473684210527,0.4473684210526315,0.9824561403508771,0.0,17,0.6157894736842104,15,0.5820175438596491,20,0.7030701754385964,14,0.5491228070175439,0,Top-3 in 0 of 4 weighting schemes
4,2.5,34262483.42707719,0.30003313283560823,0.06671084378081102,1.2841785343053123,1.0,2.085171422647123e-07,3.6544252364249143e-06,1.0,2.1140753746576025e-08,2.1140753746576025e-08,7,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.9473684210526315,0.9210526315789473,0.3333333333333333,0.0,18,0.6631578947368422,19,0.7258771929824561,14,0.5416666666666666,19,0.7192982456140351,0,Top-3 in 0 of 4 weighting schemes
5,2.25,9.61415712941126,0.27086189567719454,0.08857736959649318,1.4409415791185411,1.0,5.503847809467584e-06,0.0001004355766537871,1.0,0.07898565125250087,0.07898565125250087,4,0,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9473684210526315,0.0,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,0.0,0.8421052631578947,0.9210526315789473,0.49122807017543857,0.0,19,0.6684210526315789,18,0.6995614035087718,19,0.5942982456140351,18,0.7192982456140351,0,Top-3 in 0 of 4 weighting schemes
5,2.5,inf,0.2466918426058152,0.058364803257269025,1.4970040716109256,1.0,1.1235079583540017e-06,2.5303807580433615e-05,1.0,1.1618299206652802e-09,1.1618299206652802e-09,5,0,1.0,1.0,1.0,1.0,0.0,0.5789473684210527,0.5789473684210527,0.0,0.0,0.0,0.0,1.0,1.0,0.3859649122807018,0.0,20,0.7157894736842105,20,0.7771929824561404,18,0.5929824561403509,20,0.7771929824561403,0,Top-3 in 0 of 4 weighting schemes
