c,m,seed,converged,iterations,final_objective,xie_beni,partition_coefficient,modified_partition_coefficient,partition_entropy,minimum_centroid_distance
3,1.75,11,True,108,84.71861085138904,0.8157896213486948,0.5871239002159337,0.3806858503239006,0.7167309936302478,2.884683359874958
3,1.75,12,True,84,84.71861085157914,0.815789607960017,0.5871238727076135,0.3806858090614202,0.7167310371760423,2.8846834072239864
3,1.75,13,True,100,84.71861085157224,0.8157896084381663,0.5871238736899381,0.3806858105349072,0.7167310356210168,2.8846834055330093
3,1.75,14,True,94,84.7186108514756,0.8157896152035498,0.5871238875895777,0.3806858313843665,0.7167310136178207,2.884683381607227
3,1.75,15,True,104,84.71861085180863,0.8157895923003428,0.5871238405391125,0.3806857608086687,0.7167310880989771,2.8846834626046083
3,1.75,16,True,96,84.71861085140618,0.815789620123557,0.5871238976985804,0.38068584654787063,0.7167309976152276,2.8846833642076475
3,1.75,17,True,99,84.71861085142099,0.815789619070588,0.587123895535023,0.38068584330253447,0.7167310010401475,2.8846833679314643
3,1.75,18,True,105,84.71861085175641,0.8157895958182748,0.5871238477651937,0.3806857716477905,0.716731076660041,2.8846834501633793
3,1.75,19,True,96,84.71861085147164,0.8157896154812204,0.587123888160083,0.3806858322401245,0.7167310127147084,2.8846833806252468
3,2.0,0,True,68,67.02336596225929,0.7219903895957938,0.4893405523689263,0.23401082855338948,0.8680333130418543,2.5786495117360237
3,2.0,1,True,83,67.02336596215333,0.721990707926055,0.4893405449349524,0.23401081740242857,0.8680333143449028,2.578648374789566
3,2.0,2,True,74,67.02336596257337,0.7219894795335662,0.4893405736216922,0.2340108604325383,0.8680333093165037,2.5786527621147424
3,2.0,3,True,65,67.02336596231993,0.7220241980450417,0.4893397627729182,0.23400964415937728,0.8680334514630927,2.578528767666931
3,2.0,4,True,76,67.0233659623095,0.7219902408616471,0.4893405558424972,0.2340108337637458,0.8680333124326878,2.5786500429543793
3,2.0,5,True,77,67.02336596228423,0.7220240923849949,0.48933976524793366,0.23400964787190048,0.8680334510155345,2.5785291450041905
3,2.0,6,True,73,67.02336596251857,0.7219896348792852,0.4893405699940509,0.23401085499107635,0.8680333099520895,2.578652207281273
3,2.0,7,True,88,67.0233659623663,0.7220243337046223,0.4893397596116864,0.2340096394175296,0.8680334520032826,2.578528283194352
3,2.0,8,True,86,67.02336596254797,0.7219895513176249,0.4893405719453869,0.23401085791808032,0.8680333096102072,2.5786525057304437
3,2.0,9,True,67,67.02336596252147,0.7219896267036133,0.4893405701822342,0.2340108552733513,0.8680333099243724,2.578652236481534
3,2.0,10,True,71,67.02336596277212,0.7219889269659435,0.48934058652623147,0.2340108797893472,0.8680333070536694,2.5786547356698213
3,2.0,11,True,83,67.02336596269642,0.7219891354107031,0.4893405816584109,0.23401087248761632,0.8680333079069676,2.5786539911864192
3,2.0,12,True,82,67.0233659622976,0.7220241319298355,0.48933976432480425,0.23400964648720637,0.8680334511763953,2.5785290037801083
3,2.0,13,True,74,67.02336596254722,0.7219895535026356,0.4893405718943477,0.23401085784152156,0.868033309619177,2.5786524979264493
3,2.0,14,True,69,67.02336596234296,0.7220242656070293,0.48933976119637834,0.2340096417945675,0.8680334517366766,2.578528526387003
3,2.0,15,True,80,67.0233659626762,0.7219891915544475,0.4893405803469774,0.23401087052046612,0.8680333081374448,2.578653790662935
3,2.0,16,True,64,67.0233659626407,0.7220251179105834,0.48933974126703905,0.23400961190055858,0.868033455273236,2.578525482612413
3,2.0,17,True,65,67.02336596271425,0.722025322221279,0.48933973649347595,0.23400960474021393,0.8680334561130688,2.578524752972455
3,2.0,18,True,79,67.02336596244359,0.7219898498117964,0.4893405649746199,0.23401084746192988,0.8680333108321301,2.5786514396277695
3,2.0,19,True,62,67.02336596265782,0.72198924306104,0.48934057913036216,0.23401086869554324,0.8680333083768796,2.578653606701577
3,2.25,0,True,59,52.13634173052855,0.7787255312539291,0.4293984032400328,0.14409760486004922,0.9574740317897269,1.8597460293793868
3,2.25,1,True,82,52.13634173048638,0.7787246920919342,0.4293984032655513,0.14409760489832693,0.9574740275855343,1.8597480334601633
3,2.25,2,True,62,52.13634173055147,0.7787256459940577,0.429398407847315,0.14409761177097247,0.9574740271620031,1.859745755358679
3,2.25,3,True,61,52.13634173060017,0.7785871974335099,0.4293972728948156,0.1440959093422234,0.9574746192782002,1.8600764557925178
3,2.25,4,True,66,52.13634173007864,0.7787195351514703,0.42939835830800654,0.14409753746200982,0.9574740526568005,1.8597603493194041
3,2.25,5,True,76,52.13634173014702,0.7785929205001695,0.4293973209859793,0.144095981478969,0.9574745934273808,1.860062783240338
3,2.25,6,True,62,52.13634173056844,0.7787258334813754,0.4293984098714743,0.14409761480721148,0.9574740258031288,1.8597453076037385
3,2.25,7,True,63,52.13634173045808,0.778588966247328,0.4293972870594358,0.1440959305891537,0.9574746121079885,1.8600722300296795
3,2.25,8,True,78,52.136341730077625,0.7787193757826123,0.42939836013946703,0.14409754020920054,0.9574740498058204,1.8597607299287326
3,2.25,9,True,54,52.13634173051808,0.7785882327314622,0.4293972792729346,0.14409591890940188,0.9574746176376434,1.8600739824244157
3,2.25,10,True,62,52.136341730291946,0.7787223427179747,0.42939838150772824,0.14409757226159237,0.957474040442605,1.8597536442391713
3,2.25,11,True,69,52.13634173080197,0.778728625930491,0.42939843311317405,0.14409764966976107,0.9574740134637083,1.8597386387355233
3,2.25,12,True,71,52.13634173035985,0.7785901530108675,0.42939729816862376,0.14409594725293565,0.9574746054186742,1.8600693948175568
3,2.25,13,True,59,52.13634173063333,0.7787266042124877,0.42939841658886274,0.1440976248832941,0.9574740220720415,1.8597434669551498
3,2.25,14,True,68,52.136341730484716,0.7785885859711665,0.42939728515623865,0.14409592773435798,0.9574746123154596,1.8600731385220144
3,2.25,15,True,71,52.13634173018022,0.7787207659565701,0.4293983711080249,0.14409755666203738,0.9574740443422792,1.8597574098830814
3,2.25,16,True,64,52.13634173016641,0.7785926618487649,0.42939731879146814,0.1440959781872022,0.9574745946425058,1.8600634011607688
3,2.25,17,True,65,52.13634173087901,0.7785838440137252,0.42939724612150676,0.14409586918226014,0.9574746327954244,1.8600844672916916
3,2.25,18,True,65,52.136341730207924,0.7787211577594878,0.4293983737339942,0.1440975606009913,0.9574740433283302,1.85975647417238
3,2.25,19,True,54,52.13634173038667,0.7785902671305702,0.42939728743068545,0.14409593114602817,0.9574746185897778,1.8600691221838783
3,2.5,0,True,81,40.18743434297563,0.9456385747521039,0.3943124290447605,0.09146864356714075,1.0092244306667226,1.1804907820289068
3,2.5,1,True,111,40.187434343034134,0.9456405593383028,0.39431242967049124,0.09146864450573687,1.009224433300227,1.1804883045714532
3,2.5,2,True,86,40.18743434236795,0.9456171118100601,0.39431242277090184,0.09146863415635277,1.0092244015665508,1.1805175759497666
3,2.5,3,True,83,40.18743434277306,0.9450420267356151,0.3943122508350817,0.09146837625262257,1.0092236260545018,1.181235954634479
3,2.5,4,True,86,40.187434342454516,0.9456202693510856,0.3943124236749877,0.09146863551248156,1.0092244058714426,1.1805136340603686
